Word 1,Word 2,Cosine Similarity
money,currency,0.7730253253324468
money,deposit,0.6947916880945563
money,dollar,0.6801644282963378
money,laundering,0.39074219014813855
money,operation,0.8616752690543183
money,possession,0.7585684207606412
money,property,0.8918362784254509
money,wealth,0.7778197588783984
money,withdrawal,0.7345233408266867
monk,oracle,0.8805464587767329
monk,slave,0.8798166416640925
month,hotel,0.7387693664203364
morality,importance,0.8712180463688218
morality,marriage,0.8035940434883854
movie,critic,0.7312716730129681
movie,star,0.9221320248731024
movie,theater,0.8552102118821516
murder,manslaughter,0.5631589123249349
museum,theater,0.9472519050424765
music,project,0.9237559733011816
nature,environment,0.8188675273086755
nature,man,0.6863377979721738
network,hardware,0.6298009906279198
news,report,0.9310564347080337
noon,string,0.33007401092517924
observation,architecture,0.5053497006209743
oil,stock,0.9159221334961751
opera,industry,0.9088812779338777
opera,performance,0.836168548454113
peace,atmosphere,0.8661462358455724
peace,insurance,0.8466840403938555
peace,plan,0.8678907874785156
phone,equipment,0.683227348115108
physics,chemistry,0.7082298706582094
physics,proton,0.3862165206373237
plane,car,0.9483801855385823
planet,astronomer,0.47175505682757424
planet,galaxy,0.5713411552766736
planet,moon,0.7875627752769567
planet,people,0.7421763237476805
planet,space,0.756239108786973
planet,star,0.8804793886156375
planet,sun,0.7633031273020384
population,development,0.9302666353837621
possibility,girl,0.8075954677724807
practice,institution,0.7992135151111819
precedent,antecedent,0.5902639949422005
precedent,collection,0.558616774421391
precedent,example,0.5598078245802266
precedent,group,0.5331597988139236
precedent,information,0.2362153549336689
precedent,law,0.32119157155317457
prejudice,recognition,0.5237718063210305
preservation,world,0.6851410157445209
president,medal,0.7151135738767053
problem,airport,0.7561334889124408
problem,challenge,0.7901487586943448
production,crew,0.8865352790469008
production,hike,0.6148799881031252
professor,doctor,0.8118375161938828
profit,loss,0.6848897275743403
profit,warning,0.7551605672182455
psychology,anxiety,0.8393580002263004
psychology,clinic,0.13773478144663653
psychology,depression,0.48274546018812325
psychology,discipline,0.7105313588417203
psychology,doctor,0.4507313535836558
psychology,fear,0.8150968158389253
psychology,health,0.806460674759981
psychology,mind,0.5784646202325734
psychology,psychiatry,0.629148187444761
psychology,science,0.8469292661905695
reason,criterion,0.5983310282514427
record,number,0.7846164556163826
registration,arrangement,0.7540854743593361
report,gain,0.8960756665466536
rock,jazz,0.887339549735583
rooster,voyage,0.2582284204777125
school,center,0.887101223506462
seafood,food,0.24209796288684957
seafood,lobster,0.28402522262283103
seafood,sea,0.17987547724870698
secretary,senate,0.8412867453888014
seven,series,0.7059854849988162
shore,woodland,0.09658433856637764
shower,flood,0.7651098786054965
sign,recess,0.4554584131039745
situation,conclusion,0.9227487053214353
situation,isolation,0.7335880177070592
size,prominence,0.2959691580855022
skin,eye,0.8847233331822024
smart,student,0.6014046567032889
smart,stupid,0.7304225408234224
soap,opera,0.6678088191686702
space,chemistry,0.6613841271580944
space,world,0.9489484485193667
start,match,0.9319630860205286
start,year,0.7871270680411049
stock,egg,0.7351496998340803
stock,jaguar,0.6938636008688596
stock,life,0.8983369604702981
stock,live,0.5332029517056245
stock,market,0.9055303643800076
stock,phone,0.8437868445111056
street,avenue,0.637239517006179
street,block,0.903565993681198
street,children,0.8354789154858204
street,place,0.8721049644878192
stroke,hospital,0.744980592563431
student,professor,0.9115676463485889
sugar,approach,0.6796674126864348
summer,drought,0.6632424946180879
summer,nature,0.8264034443195479
telephone,communication,0.6326330575334163
television,film,0.7510057723928006
television,radio,0.7852915309607044
tennis,racket,0.04368961329991089
territory,kilometer,0.2728251584620157
territory,surface,0.7533624258717488
theater,history,0.874339606574283
tiger,animal,0.5532006748145283
tiger,cat,0.7537241237744622
tiger,fauna,0.1343028068423049
tiger,feline,0.016231819406526588
tiger,jaguar,0.46517743545949425
tiger,mammal,0.43087507385214396
tiger,organism,0.7192577811693498
tiger,tiger,1.0
tiger,zoo,0.6159423905146946
tool,implement,0.355166789155282
train,car,0.9219060918869478
travel,activity,0.8496008670174349
treatment,recovery,0.7951684404782398
type,kind,0.9633750622527109
victim,emergency,0.49784129020354984
viewer,serial,0.3301144566867914
volunteer,motto,0.40392095794829963
war,troops,0.8763297484723339
water,seepage,0.7942180906064795
weapon,secret,0.8638082955753761
weather,forecast,0.592796619071751
wood,forest,0.8929735342305019
word,similarity,0.8343008262005774
